Linear_Setpoint,Linear_Velocity,Robot_Pixel,Robot_Pixel_Setpoint,Angular_Velocity
0.22,0.2161,318,320,0.0120301
0.22,0.218277,319,320,0.00526316
0.22,0.218033,319,320,0.00601504
0.22,0.21778899999999998,319,320,0.00676692
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.21754600000000002,319,320,0.0075188
0.22,0.217304,319,320,0.00827068
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.21706199999999998,319,320,0.00902256
0.22,0.216821,319,320,0.00977444
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.218033,321,320,-0.00601504
0.22,0.21778899999999998,321,320,-0.00676692
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.21706199999999998,319,320,0.00902256
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
