Linear_Setpoint,Linear_Velocity,Robot_Pixel,Robot_Pixel_Setpoint,Angular_Velocity
0.22,0.213265,322,320,-0.021052599999999998
0.22,0.218033,320,320,-0.00601504
0.22,0.215385,321,320,-0.0142857
0.22,0.21256799999999998,322,320,-0.0233083
0.22,0.212106,322,320,-0.024812
0.22,0.211646,322,320,-0.0263158
0.22,0.179179,337,320,-0.15188
0.22,0.20982399999999998,321,320,-0.0323308
0.22,0.21467399999999998,315,320,0.0165414
0.22,0.21349899999999997,315,320,0.020300799999999997
0.22,0.21443800000000002,320,320,-0.0172932
0.22,0.211875,321,320,-0.0255639
0.22,0.17770999999999998,337,320,-0.158647
0.22,0.207813,321,320,-0.0390977
0.22,0.182022,333,320,-0.139098
0.22,0.217304,316,320,-0.00827068
0.22,0.186192,330,320,-0.121053
0.22,0.218521,315,320,-0.00451128
0.22,0.207371,310,320,0.0406015
0.22,0.21256799999999998,313,320,0.0233083
0.22,0.21586100000000005,318,320,-0.012782
0.22,0.21634,318,320,-0.0112782
0.22,0.20914899999999997,321,320,-0.0345865
0.22,0.20649299999999998,322,320,-0.043608999999999995
0.22,0.20369,323,320,-0.0533835
0.22,0.2054050000000001,322,320,-0.047368400000000005
0.22,0.204974,322,320,-0.0488722
0.22,0.206931,321,320,-0.042105300000000005
0.22,0.20914899999999997,320,320,-0.0345865
0.22,0.20914899999999997,320,320,-0.0345865
0.22,0.20914899999999997,320,320,-0.0345865
0.22,0.20914899999999997,320,320,-0.0345865
0.22,0.20914899999999997,320,320,-0.0345865
0.22,0.206711,321,320,-0.042857099999999995
0.22,0.20411600000000002,322,320,-0.0518797
0.22,0.20369,322,320,-0.0533835
0.22,0.203265,322,320,-0.0548872
0.22,0.202842,322,320,-0.056391
0.22,0.202421,322,320,-0.0578947
0.22,0.202002,322,320,-0.0593985
0.22,0.203902,321,320,-0.0526316
0.22,0.20369,321,320,-0.0533835
0.22,0.203477,321,320,-0.054135300000000004
0.22,0.20562199999999997,320,320,-0.046616500000000005
0.22,0.20562199999999997,320,320,-0.046616500000000005
0.22,0.203265,321,320,-0.0548872
0.22,0.19630999999999998,324,320,-0.08045110000000001
0.22,0.193391,325,320,-0.0917293
0.22,0.194548,324,320,-0.08721799999999999
0.22,0.19168,325,320,-0.09849619999999999
0.22,0.19281700000000002,324,320,-0.093985
0.22,0.194161,323,320,-0.0887218
0.22,0.193583,323,320,-0.09097739999999999
0.22,0.195132,322,320,-0.0849624
0.22,0.196904,321,320,-0.0781955
0.22,0.19891199999999998,320,320,-0.0706767
0.22,0.19891199999999998,320,320,-0.0706767
0.22,0.19891199999999998,320,320,-0.0706767
0.22,0.196706,321,320,-0.07894739999999999
0.22,0.194354,322,320,-0.08796989999999999
0.22,0.185837,326,320,-0.122556
0.22,0.181008,328,320,-0.143609
0.22,0.17610599999999998,330,320,-0.166165
0.22,0.17453,330,320,-0.173684
0.22,0.176424,328,320,-0.164662
0.22,0.176904,327,320,-0.162406
0.22,0.175789,327,320,-0.167669
0.22,0.180006,324,320,-0.14812
0.22,0.181176,323,320,-0.14285699999999998
0.22,0.18443099999999998,321,320,-0.128571
0.22,0.184257,321,320,-0.129323
0.22,0.186014,320,320,-0.121805
0.22,0.184083,321,320,-0.130075
0.22,0.185837,320,320,-0.122556
0.22,0.17146199999999998,328,320,-0.188722
0.22,0.16099000000000002,334,320,-0.24436100000000002
0.22,0.154979,337,320,-0.279699
0.22,0.155597,335,320,-0.27594
0.22,0.157864,332,320,-0.262406
0.22,0.159151,330,320,-0.254887
0.22,0.159281,329,320,-0.254135
0.22,0.162465,326,320,-0.23609000000000002
0.22,0.163145,325,320,-0.23233099999999998
0.22,0.163967,324,320,-0.22782
0.22,0.166486,322,320,-0.214286
0.22,0.169378,320,320,-0.199248
0.22,0.167775,321,320,-0.207519
0.22,0.15315399999999998,331,320,-0.290977
0.22,0.144423,337,320,-0.34887199999999996
0.22,0.140673,340,320,-0.37594
0.22,0.140673,337,320,-0.37594
0.22,0.143361,333,320,-0.35639099999999996
0.22,0.149172,327,320,-0.31654099999999996
0.22,0.160461,318,320,-0.24736799999999998
0.22,0.175,309,320,-0.171429
0.22,0.198507,298,320,-0.0721805
0.22,0.21658000000000002,290,320,0.010526299999999999
0.22,0.20959899999999998,290,320,0.0330827
0.22,0.215385,295,320,0.0142857
0.22,0.212106,302,320,-0.024812
0.22,0.186726,315,320,-0.118797
0.22,0.159022,332,320,-0.255639
0.22,0.140673,350,320,-0.37594
0.22,0.140673,351,320,-0.37594
0.22,0.140673,343,320,-0.37594
0.22,0.146263,333,320,-0.33609
0.22,0.156345,324,320,-0.271429
0.22,0.166061,317,320,-0.21654099999999998
0.22,0.169672,315,320,-0.197744
0.22,0.1672,317,320,-0.21052600000000002
0.22,0.161524,321,320,-0.241353
0.22,0.151724,328,320,-0.3
0.22,0.148265,330,320,-0.322556
0.22,0.143572,333,320,-0.354887
0.22,0.14221099999999998,333,320,-0.364662
0.22,0.1455,329,320,-0.341353
0.22,0.146924,327,320,-0.331579
0.22,0.151136,323,320,-0.303759
0.22,0.153394,321,320,-0.28947399999999995
0.22,0.15461,320,320,-0.281955
0.22,0.15597,319,320,-0.27368400000000004
0.22,0.15748099999999998,318,320,-0.264662
0.22,0.140673,336,320,-0.37594
0.22,0.140673,356,320,-0.37594
0.22,0.140673,364,320,-0.37594
0.22,0.140673,374,320,-0.37594
0.22,0.140673,375,320,-0.37594
0.22,0.140673,375,320,-0.37594
0.22,0.140673,389,320,-0.37594
0.22,0.140673,417,320,-0.37594
0.22,0.140673,426,320,-0.37594
0.22,0.140673,433,320,-0.37594
0.22,0.140673,439,320,-0.37594
0.22,0.140673,435,320,-0.37594
0.22,0.140673,432,320,-0.37594
0.22,0.140673,439,320,-0.37594
0.22,0.140673,443,320,-0.37594
0.22,0.140673,445,320,-0.37594
0.22,0.140673,442,320,-0.37594
0.22,0.140673,437,320,-0.37594
0.22,0.140673,431,320,-0.37594
0.22,0.140673,426,320,-0.37594
0.22,0.140673,418,320,-0.37594
0.22,0.140673,413,320,-0.37594
0.22,0.140673,405,320,-0.37594
0.22,0.140673,399,320,-0.37594
0.22,0.140673,390,320,-0.37594
0.22,0.140673,385,320,-0.37594
0.22,0.140673,377,320,-0.37594
0.22,0.140673,367,320,-0.37594
0.22,0.140673,359,320,-0.37594
0.22,0.140673,352,320,-0.37594
0.22,0.140673,346,320,-0.37594
0.22,0.140673,338,320,-0.37594
0.22,0.140673,331,320,-0.37594
0.22,0.140673,324,320,-0.37594
0.22,0.140673,316,320,-0.37594
0.22,0.140673,307,320,-0.37594
0.22,0.140673,300,320,-0.37594
0.22,0.140673,288,320,-0.37594
0.22,0.140673,280,320,-0.37594
0.22,0.140673,272,320,-0.37594
0.22,0.140673,258,320,-0.37594
0.22,0.140673,246,320,-0.37594
0.22,0.140673,232,320,-0.37594
0.22,0.140673,223,320,-0.37594
0.22,0.140673,208,320,-0.37594
0.22,0.140673,198,320,-0.37594
0.22,0.140673,189,320,-0.37594
0.22,0.144744,174,320,-0.346617
0.22,0.17011600000000002,169,320,-0.19548900000000002
0.22,0.21443800000000002,157,320,0.0172932
0.22,0.18185199999999999,157,320,0.13985
0.22,0.162195,160,320,0.237594
0.22,0.159934,173,320,0.25037600000000004
0.22,0.159412,186,320,0.25338299999999997
0.22,0.16982,205,320,0.196992
0.22,0.172371,217,320,0.18421099999999999
0.22,0.186192,234,320,0.121053
0.22,0.19911500000000001,248,320,0.06992480000000001
0.22,0.202421,256,320,0.0578947
0.22,0.21514699999999998,267,320,0.0150376
0.22,0.208702,278,320,-0.036090199999999996
0.22,0.203477,284,320,-0.054135300000000004
0.22,0.199523,289,320,-0.0684211
0.22,0.194742,294,320,-0.0864662
0.22,0.195523,296,320,-0.08345860000000001
0.22,0.195916,298,320,-0.0819549
0.22,0.195916,300,320,-0.0819549
0.22,0.195523,302,320,-0.08345860000000001
0.22,0.194742,304,320,-0.0864662
0.22,0.195719,305,320,-0.0827068
0.22,0.194354,307,320,-0.08796989999999999
0.22,0.194742,308,320,-0.0864662
0.22,0.194937,309,320,-0.08571430000000001
0.22,0.19281700000000002,311,320,-0.093985
0.22,0.194548,311,320,-0.08721799999999999
0.22,0.192058,313,320,-0.0969925
0.22,0.193391,313,320,-0.0917293
0.22,0.194742,313,320,-0.0864662
0.22,0.196113,313,320,-0.081203
0.22,0.19750299999999998,313,320,-0.0759398
0.22,0.194548,315,320,-0.08721799999999999
0.22,0.193391,316,320,-0.0917293
0.22,0.19630999999999998,315,320,-0.08045110000000001
0.22,0.197303,315,320,-0.07669169999999999
0.22,0.196113,316,320,-0.081203
0.22,0.196904,316,320,-0.0781955
0.22,0.197703,316,320,-0.075188
0.22,0.19630999999999998,317,320,-0.08045110000000001
0.22,0.196904,317,320,-0.0781955
0.22,0.195327,318,320,-0.08421050000000001
0.22,0.195719,318,320,-0.0827068
0.22,0.200548,316,320,-0.0646617
0.22,0.19911500000000001,317,320,-0.06992480000000001
0.22,0.199727,317,320,-0.0676692
0.22,0.20034200000000002,317,320,-0.0654135
0.22,0.200962,317,320,-0.0631579
0.22,0.199319,318,320,-0.0691729
0.22,0.202002,317,320,-0.0593985
0.22,0.202632,317,320,-0.057142899999999996
0.22,0.19871,319,320,-0.07142860000000001
0.22,0.194548,321,320,-0.08721799999999999
0.22,0.190185,323,320,-0.10451099999999999
0.22,0.187624,324,320,-0.11503800000000006
0.22,0.19300799999999999,321,320,-0.0932331
0.22,0.199319,318,320,-0.0691729
0.22,0.20432999999999998,316,320,-0.0511278
0.22,0.21256799999999998,313,320,-0.0233083
0.22,0.214202,313,320,-0.018045099999999998
0.22,0.21586100000000005,313,320,-0.012782
0.22,0.212337,315,320,-0.0240602
0.22,0.210959,316,320,-0.0285714
0.22,0.20937399999999998,317,320,-0.0338346
0.22,0.207591,318,320,-0.0398496
0.22,0.20803400000000002,318,320,-0.0383459
0.22,0.208479,318,320,-0.0368421
0.22,0.208925,318,320,-0.0353383
0.22,0.206931,319,320,-0.042105300000000005
0.22,0.20715,319,320,-0.0413534
0.22,0.207371,319,320,-0.0406015
0.22,0.207591,319,320,-0.0398496
0.22,0.210277,318,320,-0.030827099999999996
0.22,0.213265,317,320,-0.021052599999999998
0.22,0.21658000000000002,316,320,-0.010526299999999999
0.22,0.21754600000000002,316,320,-0.0075188
0.22,0.213265,318,320,-0.021052599999999998
0.22,0.208702,320,320,-0.036090199999999996
0.22,0.203902,322,320,-0.0526316
0.22,0.203477,322,320,-0.054135300000000004
0.22,0.207812,320,320,-0.0390977
0.22,0.210277,319,320,-0.030827099999999996
0.22,0.210504,319,320,-0.0300752
0.22,0.208256,320,320,-0.037594
0.22,0.208256,320,320,-0.037594
0.22,0.210731,319,320,-0.0293233
0.22,0.210959,319,320,-0.0285714
0.22,0.21118699999999999,319,320,-0.0278195
0.22,0.177549,335,320,-0.159398
0.22,0.17868699999999998,333,320,-0.154135
0.22,0.20914899999999997,309,320,0.0345865
0.22,0.195327,304,320,0.08421050000000001
0.22,0.203902,322,320,-0.0526316
0.22,0.190371,328,320,-0.10375899999999999
0.22,0.218033,314,320,0.00601504
0.22,0.20411600000000002,309,320,0.0518797
0.22,0.195132,306,320,0.0849624
0.22,0.206056,323,320,-0.0451128
0.22,0.194161,328,320,-0.0887218
0.22,0.213265,314,320,0.021052599999999998
0.22,0.21443800000000002,315,320,0.0172932
0.22,0.186548,332,320,-0.119549
0.22,0.218521,317,320,-0.00451128
0.22,0.188896,330,320,-0.109774
0.22,0.21256799999999998,313,320,0.0233083
0.22,0.20116900000000001,324,320,-0.062405999999999996
0.22,0.195523,306,320,0.08345860000000001
0.22,0.21303200000000005,320,320,-0.021804499999999997
0.22,0.19281700000000002,306,320,0.093985
0.22,0.190185,306,320,0.10451099999999999
0.22,0.204544,326,320,-0.0503759
0.22,0.190185,332,320,-0.10451099999999999
0.22,0.211416,315,320,0.027067700000000004
0.22,0.20411600000000002,325,320,-0.0518797
0.22,0.199523,310,320,0.0684211
0.22,0.195327,309,320,0.08421050000000001
0.22,0.191117,308,320,0.100752
0.22,0.207812,326,320,-0.0390977
0.22,0.195132,331,320,-0.0849624
0.22,0.215385,318,320,0.0142857
0.22,0.195523,330,320,-0.08345860000000001
0.22,0.195719,329,320,-0.0827068
0.22,0.20518899999999998,324,320,-0.048120300000000005
0.22,0.20914899999999997,322,320,-0.0345865
0.22,0.21118699999999999,321,320,-0.0278195
0.22,0.2161,319,320,-0.0120301
0.22,0.21634,319,320,-0.0112782
0.22,0.21658000000000002,319,320,-0.010526299999999999
0.22,0.216821,319,320,-0.00977444
0.22,0.219752,318,320,-0.00075188
0.22,0.21754600000000002,319,320,-0.0075188
0.22,0.21778899999999998,319,320,-0.00676692
0.22,0.21925799999999998,318,320,0.00225564
0.22,0.186548,304,320,0.119549
0.22,0.21754600000000002,319,320,0.0075188
0.22,0.217304,321,320,-0.00827068
0.22,0.211875,323,320,-0.0255639
0.22,0.21118699999999999,323,320,-0.0278195
0.22,0.190743,307,320,0.102256
0.22,0.2161,322,320,-0.0120301
0.22,0.196508,330,320,-0.0796992
0.22,0.192437,331,320,-0.0954887
0.22,0.205839,324,320,-0.0458647
0.22,0.21754600000000002,319,320,-0.0075188
0.22,0.21778899999999998,319,320,-0.00676692
0.22,0.2128,321,320,-0.0225564
0.22,0.21778899999999998,319,320,-0.00676692
