X_Goal,Y_Goal,X_Pos,Y_Pos
-0.5709,-0.538144,0.251109,-0.229187
-0.5709,-0.538144,0.251568,-0.237308
-0.5709,-0.538144,0.251739,-0.24462
-0.5709,-0.538144,0.251684,-0.251871
-0.5709,-0.538144,0.251405,-0.259117
-0.5709,-0.538144,0.250831,-0.267219
-0.5709,-0.538144,0.249979,-0.275293
-0.5709,-0.538144,0.248856,-0.283334
-0.5709,-0.538144,0.247495,-0.291248
-0.5709,-0.538144,0.245971,-0.298964
-0.5709,-0.538144,0.244401,-0.305935
-0.5709,-0.538144,0.242432,-0.31362
-0.5709,-0.538144,0.240233,-0.321242
-0.5709,-0.538144,0.237866,-0.328611
-0.5709,-0.538144,0.235273,-0.335904
-0.5709,-0.538144,0.232458,-0.343114
-0.5709,-0.538144,0.229636,-0.349759
-0.5709,-0.538144,0.226953,-0.355663
-0.5709,-0.538144,0.223757,-0.362265
-0.5709,-0.538144,0.220234,-0.369065
-0.5709,-0.538144,0.21652,-0.375763
-0.5709,-0.538144,0.212765,-0.38214
-0.5709,-0.538144,0.208939,-0.388343
-0.5709,-0.538144,0.204832,-0.39467
-0.5709,-0.538144,0.200614,-0.400789
-0.5709,-0.538144,0.196242,-0.406798
-0.5709,-0.538144,0.191848,-0.412535
-0.5709,-0.538144,0.187482,-0.418015
-0.5709,-0.538144,0.182893,-0.423531
-0.5709,-0.538144,0.178167,-0.428932
-0.5709,-0.538144,0.173315,-0.434217
-0.5709,-0.538144,0.168598,-0.43913
-0.5709,-0.538144,0.16385,-0.443906
-0.5709,-0.538144,0.158828,-0.448763
-0.5709,-0.538144,0.153749,-0.45345
-0.5709,-0.538144,0.148739,-0.457882
-0.5709,-0.538144,0.143705,-0.462172
-0.5709,-0.538144,0.138465,-0.466461
-0.5709,-0.538144,0.133191,-0.470589
-0.5709,-0.538144,0.127833,-0.474607
-0.5709,-0.538144,0.122664,-0.478328
-0.5709,-0.538144,0.117549,-0.481896
-0.5709,-0.538144,0.112111,-0.485553
-0.5709,-0.538144,0.106709,-0.489024
-0.5709,-0.538144,0.101243,-0.492392
-0.5709,-0.538144,0.0959849,-0.495502
-0.5709,-0.538144,0.0905995,-0.498576
-0.5709,-0.538144,0.0851565,-0.501549
-0.5709,-0.538144,0.0796621,-0.504424
-0.5709,-0.538144,0.0745273,-0.507004
-0.5709,-0.538144,0.0693622,-0.509521
-0.5709,-0.538144,0.0639945,-0.51204
-0.5709,-0.538144,0.0585842,-0.514466
-0.5709,-0.538144,0.0534049,-0.516692
-0.5709,-0.538144,0.0481965,-0.518849
-0.5709,-0.538144,0.0429581,-0.520933
-0.5709,-0.538144,0.0376654,-0.522951
-0.5709,-0.538144,0.0323414,-0.524886
-0.5709,-0.538144,0.0272903,-0.526643
-0.5709,-0.538144,0.0221952,-0.528354
