q_diag,r_diag,horizon,tolerance,dt_
1,1,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,1.1225,0.931354,0.785398,1.11417
1,1,1.12291,0.932176,0.785398,1.09611
1,1,1.12311,0.932571,0.785398,1.07824
1,1,1.12319,0.932724,0.785398,1.04759
1,1,1.12312,0.932616,0.785398,1.02815
1,1,1.12275,0.932043,0.785398,0.982773
1,1,1.12218,0.931235,0.785398,0.943342
2,2,1.12101,0.929725,0.785398,0.887137
2,2,1.13551,0.947603,0.785398,0.891974
2,2,1.16484,0.984308,0.785398,0.900367
2,2,1.2053,1.03577,0.785398,0.908344
2,2,1.22964,1.0671,0.785398,0.912318
2,2,1.2712,1.12115,0.785398,0.918277
2,2,1.33424,1.20303,0.785398,0.900127
2,2,1.40406,1.28657,0.785398,0.855629
2,2,1.45801,1.34782,0.785398,0.843148
2,2,1.51111,1.40662,0.785398,0.832027
2,2,1.56026,1.46013,0.785398,0.825844
2,2,1.60403,1.50761,0.785398,0.826939
2,2,1.64392,1.55107,0.785398,0.829147
2,2,1.67954,1.59001,0.785398,0.830989
2,2,1.71215,1.6258,0.785398,0.832664
2,2,1.74169,1.65832,0.785398,0.834165
2,2,1.76842,1.68784,0.785398,0.835558
2,2,1.79236,1.71435,0.785398,0.836946
2,2,1.82084,1.74597,0.785398,0.838819
2,2,1.83987,1.76719,0.785398,0.840156
2,2,1.85713,1.78647,0.785398,0.841493
2,2,1.86772,1.79834,0.785398,0.842422
2,2,1.88237,1.81479,0.785398,0.843802
2,2,1.89565,1.82973,0.785398,0.845149
3,3,1.9117,1.84785,-2.97644,0.84701
3,3,1.93402,1.87314,-2.97644,0.848174
3,3,1.95272,1.89436,-2.97644,0.848946
3,3,1.99921,1.94725,-2.97644,0.850493
3,3,2.04028,1.99335,-2.97644,0.829319
3,3,2.08679,2.04157,-2.97644,0.771882
3,3,2.14074,2.08964,-2.97644,0.678367
3,3,2.20398,2.13444,-2.97644,0.548737
3,3,2.25169,2.16035,-2.97644,0.44424
3,3,2.32813,2.18954,-2.97644,0.284629
3,3,2.4309,2.20833,-2.97644,0.0718268
3,3,2.47666,2.20924,-2.97644,-0.0345639
3,3,2.55352,2.19868,-2.97644,-0.247358
3,3,2.58401,2.18928,-2.97644,-0.353754
3,3,2.62886,2.16743,-2.97644,-0.566528
3,3,2.64916,2.1523,-2.97644,-0.726141
3,3,2.6596,2.14163,-2.97644,-0.885692
3,3,2.66211,2.13828,-2.97644,-0.992081
3,3,2.66109,2.14046,-2.97644,-1.15166
3,3,2.65697,2.15257,-2.97644,-1.31123
3,3,2.65296,2.1754,-2.97644,-1.47079
3,3,2.65243,2.20897,-2.97644,-1.63037
3,3,2.65868,2.25249,-2.97644,-1.78993
3,3,2.68289,2.32319,-2.97644,-2.00268
3,3,2.70361,2.36241,-2.97644,-2.10905
3,3,2.72792,2.39862,-2.97644,-2.21545
3,3,2.76836,2.44493,-2.97644,-2.35725
3,3,2.79681,2.47124,-2.97644,-2.43093
3,3,2.8387,2.50419,-2.97644,-2.51518
3,3,2.87776,2.53071,-2.97644,-2.57021
3,3,2.91198,2.55186,-2.97644,-2.60168
3,3,2.94103,2.56912,-2.97644,-2.60609
3,3,2.95731,2.5789,-2.97644,-2.59349
3,3,2.97126,2.58762,-2.97644,-2.57106
3,3,2.99028,2.60027,-2.97644,-2.53996
3,3,3.0081,2.61285,-2.97644,-2.51391
3,3,3.01957,2.62134,-2.97644,-2.4963
3,3,3.02499,2.62545,-2.97644,-2.48941
3,3,3.04035,2.63742,-2.97644,-2.47056
