q_diag,r_diag,horizon,tolerance,dt_
0.1,0.1,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,1.17746,0.816153,0.785398,0.735405
1,1,1.17689,0.815632,0.785398,0.736544
1,1,1.17624,0.815041,0.785398,0.738601
1,1,1.17571,0.814558,0.785398,0.741131
1,1,1.17521,0.814105,0.785398,0.744744
1,1,1.17495,0.813858,0.785398,0.74806
1,1,1.17486,0.813775,0.785398,0.749797
1,1,1.17475,0.813669,0.785398,0.75353
1,1,1.17474,0.813663,0.785398,0.756396
1,1,1.17478,0.813704,0.785398,0.759323
1,1,1.17492,0.813828,0.785398,0.763224
1,1,1.17512,0.814026,0.785398,0.767099
1,1,1.17531,0.814211,0.785398,0.769986
1,1,1.17545,0.814347,0.785398,0.771871
1,1,1.1757,0.814583,0.785398,0.774633
1,1,1.17587,0.814753,0.785398,0.776416
1,1,1.17596,0.814843,0.785398,0.777272
1,1,1.17635,0.815221,0.785398,0.780652
1,1,1.17655,0.815421,0.785398,0.782245
1,1,1.17697,0.815839,0.785398,0.785262
1,1,1.17729,0.816165,0.785398,0.787328
1,1,1.17773,0.816608,0.785398,0.789846
1,1,1.17818,0.817054,0.785398,0.792054
1,1,1.17839,0.817275,0.785398,0.79304
1,1,1.17872,0.817604,0.785398,0.794391
1,1,1.17914,0.818031,0.785398,0.795925
1,1,1.17934,0.818238,0.785398,0.796579
1,1,1.17963,0.818539,0.785398,0.797436
1,1,1.17992,0.818828,0.785398,0.798143
1,1,1.18019,0.819106,0.785398,0.7987
1,1,1.18052,0.819449,0.785398,0.799197
1,1,1.18082,0.81976,0.785398,0.799444
1,1,1.18109,0.820038,0.785398,0.799462
1,1,1.18133,0.820286,0.785398,0.799313
1,1,1.18149,0.820446,0.785398,0.799061
1,1,1.18159,0.820544,0.785398,0.79883
1,1,1.18167,0.820634,0.785398,0.79856
1,1,1.18182,0.820783,0.785398,0.797917
1,1,1.18191,0.820875,0.785398,0.797349
1,1,1.18198,0.82095,0.785398,0.796721
1,1,1.18204,0.821007,0.785398,0.79603
1,1,1.18208,0.821054,0.785398,0.795057
1,1,1.1821,0.821071,0.785398,0.794289
1,1,1.1821,0.821077,0.785398,0.793765
1,1,1.1821,0.821074,0.785398,0.793223
1,1,1.18208,0.821054,0.785398,0.792149
1,1,1.18205,0.821024,0.785398,0.791344
1,1,1.18199,0.820966,0.785398,0.79029
1,1,1.18192,0.820893,0.785398,0.789254
1,1,1.18186,0.820828,0.785398,0.788512
1,1,1.18176,0.820732,0.785398,0.787557
1,1,1.18168,0.820654,0.785398,0.786874
1,1,1.18163,0.820599,0.785398,0.786434
1,1,1.18155,0.820516,0.785398,0.785795
1,1,1.18146,0.820429,0.785398,0.785196
1,1,1.18134,0.82031,0.785398,0.784467
1,1,1.18125,0.820219,0.785398,0.783973
1,1,1.18116,0.820128,0.785398,0.783535
1,1,1.18107,0.820038,0.785398,0.783134
1,1,1.18098,0.81995,0.785398,0.782784
1,1,1.18089,0.819864,0.785398,0.782479
1,1,1.18078,0.819754,0.785398,0.78214
1,1,1.18075,0.819727,0.785398,0.782071
1,1,1.1807,0.819675,0.785398,0.781944
1,1,1.18063,0.8196,0.785398,0.781786
1,1,1.18055,0.819529,0.785398,0.781666
1,1,1.18051,0.819484,0.785398,0.781611
1,1,1.18044,0.819421,0.785398,0.781557
1,1,1.1804,0.819381,0.785398,0.781542
1,1,1.18035,0.819327,0.785398,0.781552
1,1,1.1803,0.819278,0.785398,0.781592
1,1,1.18026,0.819234,0.785398,0.781662
1,1,1.18023,0.819207,0.785398,0.781722
1,1,1.18019,0.81917,0.785398,0.781828
1,1,1.18017,0.819149,0.785398,0.781915
1,1,1.18013,0.819114,0.785398,0.782114
1,1,1.18011,0.819093,0.785398,0.782287
1,1,1.1801,0.819077,0.785398,0.782468
1,1,1.18009,0.819069,0.785398,0.782601
1,1,1.18009,0.819066,0.785398,0.782669
1,1,1.18008,0.819061,0.785398,0.78281
1,1,1.18008,0.819057,0.785398,0.782949
1,1,1.18008,0.819055,0.785398,0.783167
1,1,1.18008,0.819056,0.785398,0.783388
1,1,1.18008,0.819062,0.785398,0.783612
1,1,1.18009,0.819071,0.785398,0.783833
1,1,1.1801,0.819075,0.785398,0.783906
1,1,1.18011,0.819092,0.785398,0.784194
1,1,1.18013,0.819108,0.785398,0.784409
1,1,1.18014,0.81912,0.785398,0.784545
1,1,1.18016,0.81914,0.785398,0.784746
1,1,1.18018,0.81916,0.785398,0.784938
1,1,1.1802,0.819183,0.785398,0.785121
1,1,1.18023,0.819206,0.785398,0.785292
1,1,1.18025,0.81923,0.785398,0.785455
1,1,1.18027,0.819246,0.785398,0.785555
1,1,1.1803,0.819279,0.785398,0.785744
1,1,1.18033,0.819304,0.785398,0.785872
