q_diag,r_diag,horizon,tolerance,dt_
0.85,0.3,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
1,1,1.0375,1.00913,0.785398,-0.100358
1,1,1.03182,1.00939,0.785398,0.00306578
1,1,1.02545,1.009,0.785398,0.115502
1,1,1.02113,1.00831,0.785398,0.193257
1,1,1.01882,1.0078,0.785398,0.235386
1,1,1.0159,1.00701,0.785398,0.291065
1,1,1.01343,1.0062,0.785398,0.340179
1,1,1.01132,1.00539,0.785398,0.384338
1,1,1.00907,1.0044,0.785398,0.435081
1,1,1.00764,1.00371,0.785398,0.469129
1,1,1.00646,1.00308,0.785398,0.499728
1,1,1.00548,1.00252,0.785398,0.527026
1,1,1.00446,1.0019,0.785398,0.558519
1,1,1.00402,1.00162,0.785398,0.572954
2,2,1.00364,1.00137,0.785398,0.586486
2,2,1.00337,1.00118,0.785398,0.617871
2,2,1.00909,1.00556,0.785398,0.677408
2,2,1.01721,1.01236,0.785398,0.716396
2,2,1.03522,1.02904,0.785398,0.775043
2,2,1.05943,1.05424,0.785398,0.83376
2,2,1.08889,1.08873,0.785398,0.892471
2,2,1.13453,1.1503,0.785398,0.970755
2,2,1.17017,1.2043,0.785398,0.995361
2,2,1.20807,1.26182,0.785398,0.975475
2,2,1.25133,1.3225,0.785398,0.922596
2,2,1.30233,1.38478,0.785398,0.8463
2,2,1.37713,1.46392,0.785398,0.790303
2,2,1.4353,1.52121,0.785398,0.765897
2,2,1.49436,1.57753,0.785398,0.758502
2,2,1.5537,1.63355,0.785398,0.75484
2,2,1.61277,1.68895,0.785398,0.750305
2,2,1.64935,1.72288,0.785398,0.745629
2,2,1.69812,1.7676,0.785398,0.738549
2,2,1.73971,1.80525,0.785398,0.733968
2,2,1.76368,1.82688,0.785398,0.734816
2,2,1.7753,1.83739,0.785398,0.735571
2,2,1.80584,1.86509,0.785398,0.737319
2,2,1.84088,1.89695,0.785398,0.738276
3,3,1.86348,1.91751,-2.97644,0.738057
3,3,1.89249,1.94389,-2.97644,0.737636
3,3,1.92922,1.97725,-2.97644,0.7372
3,3,1.97297,2.01684,-2.97644,0.729829
3,3,2.02188,2.05907,-2.97644,0.688744
3,3,2.07739,2.10153,-2.97644,0.61161
3,3,2.11888,2.12855,-2.97644,0.540121
3,3,2.18882,2.16445,-2.97644,0.402816
3,3,2.2664,2.19045,-2.97644,0.243291
3,3,2.34712,2.2038,-2.97644,0.0837071
3,3,2.40167,2.20548,-2.97644,-0.0226421
3,3,2.48191,2.19733,-2.97644,-0.182156
3,3,2.55094,2.17898,-2.97644,-0.341661
3,3,2.6067,2.15415,-2.97644,-0.501155
3,3,2.64911,2.12649,-2.97644,-0.660656
3,3,2.68628,2.09113,-2.97644,-0.873319
3,3,2.69759,2.07616,-2.97644,-0.979678
3,3,2.70724,2.05927,-2.97644,-1.13915
3,3,2.7105,2.05081,-2.97644,-1.29863
3,3,2.71039,2.05214,-2.97644,-1.45812
3,3,2.71015,2.06386,-2.97644,-1.6176
3,3,2.71308,2.08578,-2.97644,-1.77708
3,3,2.72743,2.12908,-2.97644,-1.98971
3,3,2.74973,2.16974,-2.97644,-2.14918
3,3,2.77143,2.19934,-2.97644,-2.2555
3,3,2.81562,2.24521,-2.97644,-2.41496
3,3,2.85172,2.27424,-2.97644,-2.50801
3,3,2.93035,2.32521,-2.97644,-2.60364
3,3,2.98946,2.36028,-2.97644,-2.60401
