q_diag,r_diag,horizon,tolerance,dt_
0.5,0.5,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
0,2.5,0.470058,3.34463,2.1588,3.09739
0,2.5,0.429911,3.34605,2.1588,3.11509
0,2.5,0.379523,3.34685,2.1588,3.1366
0,2.5,0.33173,3.34638,2.1588,-3.10198
0,2.5,0.283359,3.34102,2.1588,-2.93779
0,2.5,0.229935,3.32369,2.1588,-2.72504
0,2.5,0.172109,3.29025,2.1588,-2.51235
0,2.5,0.143695,3.26717,2.1588,-2.40602
0,2.5,0.104657,3.22573,2.1588,-2.24655
0,2.5,0.082219,3.1945,2.1588,-2.14023
0,2.5,0.0478122,3.12571,2.1588,-1.9276
0,2.5,0.0328458,3.07316,2.1588,-1.76812
0,2.5,0.0266137,3.02116,2.1588,-1.60864
0,2.5,0.0307176,2.95873,2.1588,-1.396
0,2.5,0.0369848,2.93157,2.1588,-1.28969
0,2.5,0.0557602,2.88506,2.1588,-1.07707
0,2.5,0.0767311,2.8539,2.1588,-0.864449
0,2.5,0.0959149,2.83554,2.1588,-0.651824
0,2.5,0.105714,2.82909,2.1588,-0.492357
0,2.5,0.111995,2.82621,2.1588,-0.332892
0,2.5,0.109396,2.82636,2.1588,-0.0671374
0,2.5,0.0978799,2.82574,2.1588,0.145464
0,2.5,0.0745628,2.81884,2.1588,0.411209
0,2.5,0.0539193,2.80701,2.1588,0.623798
0,2.5,0.0330829,2.78828,2.1588,0.836375
0,2.5,0.0158984,2.76454,2.1588,1.04894
0,2.5,0.00421762,2.73816,2.1588,1.25886
0,2.5,-0.00280566,2.70406,2.1588,1.4675
0,2.5,-0.00358241,2.67337,2.1588,1.61632
0,2.5,-0.00164972,2.65214,2.1588,1.70337
0,2.5,0.00140274,2.634,2.1588,1.76942
0,2.5,0.00522058,2.61754,2.1588,1.82729
0,2.5,0.00895879,2.60438,2.1588,1.86697
0,2.5,0.0125946,2.59314,2.1588,1.89878
0,2.5,0.0168318,2.58132,2.1588,1.93009
0,2.5,0.0207249,2.57135,2.1588,1.95506
0,2.5,0.0227858,2.56634,2.1588,1.96695
-1,4,0.0246857,2.56187,-2.35619,1.97735
-1,4,0.0268765,2.55692,-2.35619,2.01297
-1,4,0.0219123,2.56671,-2.35619,2.05683
