q_diag,r_diag,horizon,tolerance,dt_
0.1,1,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
2,2,1.18593,1.11024,0.785398,0.81063
2,2,1.22049,1.14653,0.785398,0.809207
2,2,1.24551,1.17276,0.785398,0.808454
2,2,1.28554,1.21464,0.785398,0.807611
2,2,1.31596,1.24643,0.785398,0.80721
2,2,1.34513,1.27689,0.785398,0.806953
2,2,1.37324,1.30623,0.785398,0.806788
2,2,1.39345,1.32732,0.785398,0.806721
2,2,1.40664,1.34109,0.785398,0.806692
2,2,1.43831,1.37414,0.785398,0.80667
2,2,1.46248,1.39936,0.785398,0.806689
2,2,1.4799,1.41754,0.785398,0.806719
2,2,1.50785,1.4467,0.785398,0.806791
2,2,1.52907,1.46885,0.785398,0.80686
2,2,1.5444,1.48486,0.785398,0.806919
2,2,1.55931,1.50042,0.785398,0.806981
2,2,1.57839,1.52035,0.785398,0.807067
2,2,1.59668,1.53945,0.785398,0.807156
2,2,1.60559,1.54875,0.785398,0.807202
2,2,1.61431,1.55786,0.785398,0.807248
2,2,1.62284,1.56677,0.785398,0.807295
2,2,1.63528,1.57978,0.785398,0.807365
2,2,1.64342,1.58828,0.785398,0.807413
2,2,1.65905,1.60461,0.785398,0.807504
2,2,1.67031,1.61639,0.785398,0.807571
2,2,1.68482,1.63156,0.785398,0.807658
2,2,1.69187,1.63892,0.785398,0.807702
2,2,1.6988,1.64617,0.785398,0.807745
2,2,1.7122,1.66018,0.785398,0.807828
2,2,1.7219,1.67033,0.785398,0.807887
2,2,1.73423,1.68323,0.785398,0.807959
2,2,1.74899,1.69867,0.785398,0.808042
2,2,1.76019,1.71039,0.785398,0.8081
2,2,1.77096,1.72166,0.785398,0.808152
2,2,1.77619,1.72714,0.785398,0.808175
2,2,1.78382,1.73512,0.785398,0.808205
2,2,1.796,1.74787,0.785398,0.808242
2,2,1.80526,1.75756,0.785398,0.80826
2,2,1.81195,1.76456,0.785398,0.808264
2,2,1.82266,1.77577,0.785398,0.808258
2,2,1.83085,1.78435,0.785398,0.808237
2,2,1.83676,1.79054,0.785398,0.808212
2,2,1.84248,1.79653,0.785398,0.808178
2,2,1.84803,1.80233,0.785398,0.808136
2,2,1.85517,1.8098,0.785398,0.808064
2,2,1.86197,1.81692,0.785398,0.807976
2,2,1.86691,1.82208,0.785398,0.807895
2,2,1.87322,1.82869,0.785398,0.807776
2,2,1.87779,1.83347,0.785398,0.807675
3,3,1.88368,1.83962,-2.97644,0.807522
3,3,1.88795,1.84408,-2.97644,0.807396
