q_diag,r_diag,horizon,tolerance,dt_
0.85,0.2,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
0,2.5,2.74979,2.99208,2.1588,3.0162
0,2.5,2.65136,3.00756,2.1588,2.96833
0,2.5,2.5464,3.02495,2.1588,2.99568
0,2.5,2.43862,3.03951,2.1588,3.01438
0,2.5,2.33067,3.05311,2.1588,3.01589
0,2.5,2.27671,3.05996,2.1588,3.01505
0,2.5,2.19576,3.07028,2.1588,3.01456
0,2.5,2.08784,3.08407,2.1588,3.01453
0,2.5,2.0069,3.0944,2.1588,3.01459
0,2.5,1.89897,3.10818,2.1588,3.01462
0,2.5,1.81803,3.11852,2.1588,3.01462
0,2.5,1.7101,3.1323,2.1588,3.01462
0,2.5,1.60218,3.14607,2.1588,3.01462
0,2.5,1.54822,3.15296,2.1588,3.01462
0,2.5,1.46728,3.1633,2.1588,3.01462
0,2.5,1.35935,3.17708,2.1588,3.01462
0,2.5,1.25143,3.19085,2.1588,3.01462
0,2.5,1.11652,3.20808,2.1588,3.01462
0,2.5,1.0086,3.22185,2.1588,3.01462
0,2.5,0.900674,3.23563,2.1588,3.01462
0,2.5,0.79275,3.24941,2.1588,3.01462
0,2.5,0.711807,3.25974,2.1588,3.01462
0,2.5,0.603883,3.27352,2.1588,3.01462
0,2.5,0.523072,3.28384,2.1588,3.01462
0,2.5,0.426073,3.29532,2.1588,3.03294
0,2.5,0.346827,3.30334,2.1588,3.04945
0,2.5,0.269102,3.30887,2.1588,3.09939
0,2.5,0.21527,3.30978,2.1588,-3.13393
0,2.5,0.189215,3.30925,2.1588,-3.10341
0,2.5,0.163277,3.30752,2.1588,-3.04044
0,2.5,0.123851,3.30066,2.1588,-2.89344
0,2.5,0.0773211,3.28486,2.1588,-2.73822
0,2.5,0.0246347,3.25723,2.1588,-2.58239
0,2.5,-0.0125905,3.23114,2.1588,-2.47854
0,2.5,-0.084616,3.16145,2.1588,-2.26703
0,2.5,-0.129191,3.09857,2.1588,-2.10754
0,2.5,-0.171526,3.00661,2.1588,-1.89495
0,2.5,-0.189272,2.93576,2.1588,-1.73548
0,2.5,-0.195122,2.86807,2.1588,-1.57601
0,2.5,-0.190551,2.80508,2.1588,-1.41656
0,2.5,-0.171814,2.73393,2.1588,-1.20394
0,2.5,-0.143781,2.67866,2.1588,-0.991348
0,2.5,-0.119464,2.64713,2.1588,-0.831893
0,2.5,-0.0879205,2.61891,2.1588,-0.619308
0,2.5,-0.0665944,2.60598,2.1588,-0.459864
0,2.5,-0.0499247,2.59923,2.1588,-0.300425
0,2.5,-0.0373466,2.59632,2.1588,-0.140986
0,2.5,-0.026186,2.59575,2.1588,0.0716032
0,2.5,-0.0225601,2.59628,2.1588,0.284182
0,2.5,-0.0239701,2.59562,2.1588,0.496754
0,2.5,-0.0274659,2.59329,2.1588,0.656189
0,2.5,-0.033713,2.58722,2.1588,0.868746
0,2.5,-0.0392065,2.57917,2.1588,1.07953
0,2.5,-0.0416718,2.57391,2.1588,1.17702
0,2.5,-0.0445777,2.56524,2.1588,1.30904
0,2.5,-0.0463901,2.5564,2.1588,1.42268
0,2.5,-0.0473064,2.54516,2.1588,1.55066
0,2.5,-0.0469519,2.53502,2.1588,1.65616
0,2.5,-0.0464481,2.53045,2.1588,1.70175
0,2.5,-0.0443177,2.51971,2.1588,1.82326
0,2.5,-0.0421845,2.51247,2.1588,1.88811
0,2.5,-0.0402473,2.50705,2.1588,1.93774
0,2.5,-0.0393057,2.50468,2.1588,1.9596
-1,4,-0.0379628,2.50156,-2.35619,1.98884
-1,4,-0.038827,2.50332,-2.35619,2.03152
-1,4,-0.0477324,2.51989,-2.35619,2.08881
-1,4,-0.0671838,2.55172,-2.35619,2.14599
-1,4,-0.098923,2.5976,-2.35619,2.20315
-1,4,-0.131021,2.63962,-2.35619,2.23841
-1,4,-0.180132,2.70164,-2.35619,2.23206
-1,4,-0.193086,2.71847,-2.35619,2.22046
-1,4,-0.24519,2.79281,-2.35619,2.13397
-1,4,-0.292507,2.88101,-2.35619,1.98336
-1,4,-0.325655,2.98382,-2.35619,1.7777
-1,4,-0.336063,3.06497,-2.35619,1.61829
-1,4,-0.324509,3.20058,-2.35619,1.35262
-1,4,-0.289797,3.3039,-2.35619,1.1401
-1,4,-0.253343,3.36932,-2.35619,0.980722
-1,4,-0.226887,3.4047,-2.35619,0.874465
-1,4,-0.173633,3.45663,-2.35619,0.66197
-1,4,-0.126306,3.48642,-2.35619,0.449483
-1,4,-0.0911458,3.49935,-2.35619,0.236991
-1,4,-0.0704848,3.50217,-2.35619,-0.0286131
-1,4,-0.0717909,3.50246,-2.35619,-0.187978
-1,4,-0.0888476,3.50797,-2.35619,-0.400455
-1,4,-0.1205,3.52592,-2.35619,-0.612931
-1,4,-0.161543,3.5623,-2.35619,-0.825411
-1,4,-0.194347,3.60431,-2.35619,-0.984764
-1,4,-0.234283,3.68177,-2.35619,-1.19724
-1,4,-0.261637,3.78004,-2.35619,-1.38433
-1,4,-0.274157,3.89534,-2.35619,-1.54037
-1,4,-0.270556,3.98329,-2.35619,-1.69037
-1,4,-0.264229,4.02176,-2.35619,-1.78029
-1,4,-0.25709,4.04943,-2.35619,-1.87021
-1,4,-0.251008,4.06656,-2.35619,-1.96013
-1,4,-0.247648,4.07388,-2.35619,-2.08003
-1,4,-0.256699,4.06078,-2.35619,-2.2299
-1,4,-0.278904,4.03565,-2.35619,-2.34979
-1,4,-0.306308,4.01036,-2.35619,-2.43972
-1,4,-0.35917,3.97103,-2.35619,-2.55962
-1,4,-0.412092,3.93959,-2.35619,-2.64954
-1,4,-0.498465,3.89942,-2.35619,-2.74929
-1,4,-0.588063,3.86315,-2.35619,-2.75009
-1,4,-0.662962,3.83132,-2.35619,-2.72838
-1,4,-0.720291,3.80548,-2.35619,-2.70657
-1,4,-0.768787,3.78227,-2.35619,-2.68717
-1,4,-0.798537,3.76808,-2.35619,-2.71871
-1,4,-0.807955,3.76395,-2.35619,-2.73829
-1,4,-0.826207,3.75655,-2.35619,-2.77494
-1,4,-0.842126,3.75071,-2.35619,-2.80497
-1,4,-0.859744,3.74486,-2.35619,-2.83779
-1,4,-0.872191,3.74111,-2.35619,-2.86115
-1,4,-0.886098,3.7373,-2.35619,-2.88791
-1,4,-0.895964,3.73484,-2.35619,-2.90731
-1,4,-0.902733,3.73327,-2.35619,-2.92085
-1,4,-0.908981,3.73191,-2.35619,-2.93363
-1,4,-0.914765,3.73072,-2.35619,-2.9456
-1,4,-0.923375,3.72909,-2.35619,-2.96351
-1,4,-0.928021,3.72828,-2.35619,-2.97318
-1,4,-0.933738,3.72734,-2.35619,-2.98498
-1,4,-0.938868,3.72655,-2.35619,-2.99517
-1,4,-0.94461,3.72574,-2.35619,-3.00569
-1,4,-0.947628,3.72533,-2.35619,-3.01027
-1,4,-0.950378,3.72497,-2.35619,-3.01317
-1,4,-0.954176,3.72448,-2.35619,-3.0131
-1,4,-0.95639,3.72419,-2.35619,-3.00418
-1,4,-0.966996,3.72268,-2.35619,-3.007
-1,4,-0.975088,3.72143,-2.35619,-2.92848
-1,4,-0.971837,3.72253,-2.35619,-2.78893
-1,4,-0.957935,3.72914,-2.35619,-2.62616
-1,4,-0.939058,3.74167,-2.35619,-2.4946
-1,4,-0.920358,3.75758,-2.35619,-2.38621
-1,4,-0.90311,3.77532,-2.35619,-2.30147
-1,4,-0.888142,3.79318,-2.35619,-2.23696
-1,4,-0.875034,3.81091,-2.35619,-2.17828
-1,4,-0.8644,3.82693,-2.35619,-2.13601
-1,4,-0.853585,3.84486,-2.35619,-2.09195
-1,4,-0.85005,3.85113,-2.35619,-2.07731
-1,4,-0.843653,3.86305,-2.35619,-2.04948
-1,4,-0.838485,3.87332,-2.35619,-2.02559
-1,4,-0.834329,3.88205,-2.35619,-2.00494
-1,4,-0.830054,3.89156,-2.35619,-1.98187
-1,4,-0.826619,3.89967,-2.35619,-1.96169
-1,4,-0.824854,3.90402,-2.35619,-1.95076
-1,4,-0.822413,3.91028,-2.35619,-1.93526
-1,4,-0.821552,3.91256,-2.35619,-1.92979
-1,4,-0.820405,3.91565,-2.35619,-1.92279
-1,4,-0.818759,3.9202,-2.35619,-1.91394
-1,4,-0.817933,3.92253,-2.35619,-1.91111
-1,4,-0.817233,3.92451,-2.35619,-1.91053
-1,4,-0.816477,3.92663,-2.35619,-1.91421
-1,4,-0.815847,3.92836,-2.35619,-1.93159
-1,4,-0.815716,3.92869,-2.35619,-1.9553
-1,4,-0.812504,3.93676,-2.35619,-1.94531
-1,4,-0.810696,3.94118,-2.35619,-1.99678
-1,4,-0.811276,3.93998,-2.35619,-2.04517
-1,4,-0.815046,3.93354,-2.35619,-2.1576
-1,4,-0.821633,3.92462,-2.35619,-2.25223
-2,3,-0.829898,3.91523,-2.35619,-2.33139
-2,3,-0.843166,3.90256,-2.35619,-2.4212
-2,3,-0.862985,3.88646,-2.35619,-2.4939
-2,3,-0.881504,3.87315,-2.35619,-2.5422
-2,3,-0.932231,3.84212,-2.35619,-2.63885
-2,3,-0.981343,3.81725,-2.35619,-2.70001
-2,3,-1.03438,3.79284,-2.35619,-2.71261
-2,3,-1.11135,3.75605,-2.35619,-2.66975
-2,3,-1.21722,3.69408,-2.35619,-2.54844
-2,3,-1.2613,3.66241,-2.35619,-2.4886
-2,3,-1.34479,3.59288,-2.35619,-2.4156
-2,3,-1.40526,3.53815,-2.35619,-2.39804
-2,3,-1.46505,3.48264,-2.35619,-2.38917
-2,3,-1.52447,3.42673,-2.35619,-2.38454
-2,3,-1.60341,3.35187,-2.35619,-2.38117
-2,3,-1.66249,3.29558,-2.35619,-2.3797
-2,3,-1.73573,3.22465,-2.35619,-2.35913
-2,3,-1.79451,3.16469,-2.35619,-2.33434
-2,3,-1.82993,3.12721,-2.35619,-2.32108
-3,2,-1.87471,3.07834,-1.5708,-2.3065
-3,2,-1.89436,3.05655,-1.5708,-2.30276
-3,2,-1.92946,3.01726,-1.5708,-2.2971
-3,2,-1.98509,2.95375,-1.5708,-2.2759
-3,2,-2.04465,2.87899,-1.5708,-2.20466
-3,2,-2.10337,2.78973,-1.5708,-2.09981
-3,2,-2.14296,2.71847,-1.5708,-2.0603
-3,2,-2.19288,2.62184,-1.5708,-2.04008
-3,2,-2.22955,2.54895,-1.5708,-2.03439
-3,2,-2.26591,2.47591,-1.5708,-2.03122
-3,2,-2.29004,2.42716,-1.5708,-2.02989
-3,2,-2.32615,2.35399,-1.5708,-2.02854
-3,2,-2.36218,2.28077,-1.5708,-2.02771
-3,2,-2.41015,2.18312,-1.5708,-2.02714
-3,2,-2.44268,2.11573,-1.5708,-2.01373
-3,2,-2.47792,2.03979,-1.5708,-1.99632
-3,2,-2.50545,1.97861,-1.5708,-1.99188
-3,2,-2.52118,1.9434,-1.5708,-1.99093
-3,2,-2.52981,1.92422,-1.5708,-1.99795
-3,2,-2.54384,1.89474,-1.5708,-2.04242
-3,2,-2.55658,1.87174,-1.5708,-2.10861
-3,2,-2.56721,1.85469,-1.5708,-2.14818
-3,2,-2.58195,1.83313,-1.5708,-2.19197
-3,2,-2.59695,1.81319,-1.5708,-2.23609
-3,2,-2.61174,1.7949,-1.5708,-2.26724
-3,2,-2.62863,1.77536,-1.5708,-2.29989
-3,2,-2.63795,1.76512,-1.5708,-2.31853
-3,2,-2.64674,1.7558,-1.5708,-2.33597
-3,2,-2.65763,1.74471,-1.5708,-2.35845
-3,2,-2.6653,1.73719,-1.5708,-2.37419
-3,2,-2.67498,1.72803,-1.5708,-2.39461
-3,2,-2.68405,1.71979,-1.5708,-2.41364
-3,2,-2.69249,1.7124,-1.5708,-2.43141
-3,2,-2.7004,1.70571,-1.5708,-2.44822
